year,text,birthdate
2019,"

 Эта страничка посвящена бижутерии которую я делаю сама.

Еще в школе занималась в кружке лепки из глины, делали там мы народные игрушки, свистульки и барышень в кокошниках..... По окончанию школы пришлось ""отойти от дел"" ))

И только в 2009 году я узнала что есть замечательная глина, которую можно запекать в обычной духовке... И теперь я катаю всяческие колбаски шарики и т.д. 

 Работы свои я ношу сама, дарю друзьям  и продаю. Многого уже нет в наличии, но можно постараться и сделать похожую вещь, и даже скорректировать по необходимости. Изготовление бижутерии для меня всего лишь хобби.

",1980
2010,"

 Колье делала на конкурс, получила приз зрительских симпатий. Безумно приятно!!! Огромное всем спасибо. Есть ощущуние перенасыщенности, но оно оказалось к месту потому, что колье уезжает на север в мурманскую область. Размер центрального кулона около 3х4,5 см, маленьких (тройные коннекторы) около 2х1,5 см.  Вот цветочки со всех сторон   а вот изнанка   Материал: цернит, фимо, посеребренная проволока, фурнитура, лак.

",1980
2010,"

 Весна... листочки распускаются, но как то медленно...очень захотелось ускорить процесс...         Материал: цернит,bebik, посеребренная проволока, фурнитура, лак.

",1980
2010,"

 Новенький браслет и колье в тему к стареньким сережкам ""Лепестки""           Материал: цернит, бисер, фурнитура, микробисер, лак.

",1980
2010,"

       Материал: цернит, фимо, золотистая проволока, фурнитура, лак.

",1980
2010,"

 Давненько сделала такую колбаску... вот сережки родились       вариации     Материал: цернит, фимо, латунная и посеребренная проволока, фурнитура.

",1980
2010,"

      Материал: bebik, бисер, фурнитура.

",1980
2010,"

 Мои лилейные колбаски     Лилия около 6см           Материал: цернит, фимо, медная серебристая проволока, фурнитура, лак.

",1980
2010,"

  Сборка ""Цвветника"", цветочки лилейные         Материал: Цернит, фимо, bebik, бисер, фурнитура.  

",1980
2010,"

 Вот то, что я люблю катать... ой а всякие волосочки на мои колбаски липнут... ну прям как мухи на варенье :-)     Материал: Цернит, фимо, bebik.

",1980
2010,"

 Постараюсь в следующий раз фотографировать процесс )) только не знаю когда это будет... надо еще освоить""километры"" прежних колбасок ))


",1980
2010,"

         Материал: Цернит, фимо, фурнитура.

",1980
2010,"

          Продолжение следует  Материал: Цернит, фимо, леска.

",1980
2010,"

 да на леске. Купила в рыбловном самую дешевую, она не на бобине была а просто в пакетике смотана.


",1980
2010,"

 класс-мастер сложновато будет... а может на словах объясню как делать? Листики это колбаса в сечении форма капельки, надеваю перчатки, кладу на пальчик будущий лепесток и прижимаю его к концу кисточки (конец должен быть закругленным и не шероховатым) придаю форму, а чтоб лепесток не клеился к кисочке можно ее слегка смочить. тычинку отдельно делаем и запекаем, потом на нее приклеиваем лепестки с гелем, а у основания чтоб лепестки не ездили можно клеем обычным мазнуть (самую малость) момент например. надеюсь понятно )


",1980
2010,"

 Хотела у Вас уточнить про заказ пластики... Вы имеете отношение к этой закупке  ?


",1980
2010,"

    Материал: Цернит, фимо, посеребренная проволока, леска.

",1980
2010,"

 Размер сердечка около 4,5см       Материал: Цернит, фимо, посеребренная проволока, перлакс, лак.

",1980
2010,"

 И снова лилия... теперь заколка :)      Размер цветка лилии около 7см, длина заколки около 9см, вес 35гр  Материал: Цернит, фимо, леска, перлакс, фурнитура, лак.

",1980
2010,"

 Большое спасибо! Вы меня смущаете


",1980
2010,"

 Новенькое для меня... колечки           Материал: Цернит, фимо, перлакс, фурнитура, лак.

",1980
2010,"

 Теперь крокусы в ушки )            Материал: Цернит, фимо, перлакс, фурнитура, лак.

",1980
2010,"

 Первый мой осенний комплект с листочками... вот и название соответствующее      Материал: Цернит, фимо, Pearl Ex, посеребренная и латунная проволока, фурнитура, лак.

",1980
2009,"

 Открыла летом для себя новый материал - полимерная глина...  и вот первое что захотелось сфоткать...... кулон   кольцо   полеплюшки люблю с детства    Материал: цернит, лак.

",1980
2010,"

 комплект надо было выдержать в салатово-желто-бирюзовых тонах... поэтому некоторые крокусы не очень натуралистичного цвета (а может уже такие и бывают)     Первый вариант смотрелся тяжеловато...      Материал: Цернит, фимо, Pearl Ex, посеребренная проволока, лента из органзы, стеклянные бусины, фурнитура, лак.

",1980
2010,"

 Доросли руки до мика-шифта!      будущие сережки  а это их изнанка   кулоны  обратная сторона   Материал: Цернит, фимо,посеребренная проволока, стеклянные бусины, лак,

",1980
2010,"

 Для любителей старкрафта (и по просьбе мужа) кулон-брелок с эмблемой зергов  лепилась эмблема на стекле (отдельно от тынешнего основания), затем из нее сделался штамп.... и отштампованный брелок (после запекания) тонировался акрилом    Размер овала-основания 3*4см   Материал: Цернит, акрил

",1980
2010,"

         Материал: Цернит, фимо, посеребренная проволока, лак,

",1980
2011,"

      Дошла до меня очередь поиграться с поталью и полупрозрачной пластикой... хочется себе текстурный лист, но как то не срастается... вот пришлось сделать свой простенький )            Плоские сережки и кулончики двусторонние, на обратной стороне рисунок в технике мика-шифт            Материал: Цернит, фимо,като, посеребренная проволока, фурнитура, лак.

",1980
2009,"

   Бусы накатались простенькие... решила немного приукрасить их проволокой  а это подфилиграненные бусики   

",1980
2011,"

   Не заканчиваются пока у меня запасы полупрозрачной пластики )) и еще много всяческих ""колбасок"" которые уже начинают подсыхать....           Материал: Цернит, фимо, посеребренная проволока, фурнитура, лак.

",1980
2011,"

   Потали еще листов 20 осталолось )) Видно буду ждать когда дочка подрастет и помогать начнет ))                 Материал: Цернит, фимо, посеребренная проволока, фурнитура, лак.

",1980
2011,"

 и у меня подобные ощущения ))


",1980
2011,"

 Решила попробовать сделать урок... получилось не так уж хорошо как бывает... но тем не менее я старалась ))) фотографии со вспышкой, поэтому и цвет непохожий ))  а вот и результат.... тут цвета максимально приближены к реалистичным       Материал: Цернит, фимо, леска, гель, клей.

",1980
2011,"

 Потихоньку осваиваю свои ""километры"" лилейных колбасок Сделала еще штампики для лепестков и бутончиков, да леску потоньше для тычинок ))   И еще немного с проволокой тренируюсь...        Материал: Цернит, фимо, леска, гель, стеклянные бусинки, проволока, клей.

",1980
2011,"

 Огромно спасибо за столь щедрые похвалы (смущаюсь) а про штампики Вы правильно поняли это молды и я как паз сделала их из запекайки, они у меня плоские, к ним прикладываю лепесток а потом придаю форму и немного по краям волну делаю. только молд прежде кисточкой припудриваю детской присыпкой, чтоб не прилипала пластика


",1980
2010,"

      Материал: Цернит, фимо, латексная резинка, лак.

",1980
2011,"

 И снова... и опять... лилии ))        Другой вариант сборки     Материал: Цернит, фимо, леска, стеклянные бусинки, бисер, клей.

",1980
2011,"

   Колечко и серьги вот к этому браслету             Материал: Цернит, фимо, леска, бисер, клей.

",1980
2011,"

 Originally posted by sdelanorukami  at Весенний розыгрыш керамики! Я хотела сделать это в декабре, к новому году. Потом в феврале, к дню рождения. Потом в марте - к началу весны. Но все что-то мешало) И вот, наконец! С огромным трепетом и волнением - объявляю о весеннем розыгрыше моих керамических штук)    (  Что сделать, чтоб принять участие  ) Перепостить 

",1980
2009,"

   Вот первая попытка сделать колбасу крыла бабочки.... естественно что получилось не совсем то что хотелось )))))))))))      Материал: цернит, медная проволока, лак.  

",1980
2011,"

    Брошки и сережки     Материал: Цернит, фимо, лак.

",1980
2011,"

 Волшебство существует вне зависимости от ....  

",1980
2011,"

 Осваиваю свои колбаски ))              Материал: Цернит, фимо, стеклянные бусинки, медная проволока.

",1980
2011,"

        Материал: Цернит, фимо, микробисер, стрелянные бусинки, основа для заколки.

",1980
2011,"

              Материал: Цернит, фимо, микробисер, металлическая основ.

",1980
2011,"

 Урок получился не ярким (фотик сломался когда я катала эту колбаску), снимала телефоном... По такому принципу много что уже делалось и многое можно сделать, лучше всего если предварительно сделать схему (чего я не делаю, но надо бы....)  

",1980
2011,"

     Материал: Цернит, фимо, микробисер, металлическая основа.

",1980
2011,"

 Спасибо! Колбаска бабочки лежит у меня уже больше года, а вот маранту только что скатала, этапы фотала.... так что будет урок ))


",1980
2012,"

 Очень давно ничего не лепила, и творчество мое нынче урывками...          

",1980
2009,"

    цветочек   феолетовые розочки   Сережки ""Букет""   ""  Материал: цернит, стеклянные бусины, посеребренная проволока, медная проволока.

",1980
2012,"

 Серьги ""Анютки"" и кулон ""Ромашка""          

",1980
2012,"

 Анютины глазки и Орхидея           

",1980
2012,"

 ))) ну если у меня с логикой все нормуль.... то судя по аватарке это уж точно не орхидея )))))))


",1980
2012,"

 Первоначально прикрепляю супер клеем, а затем вокруг жидким плаcтиком


",1980
2013,"

 Спасибо!! помнится я собиралась сделать МК по созданию колбаски листа маранты..... но что-то как-то никак.... фото у меня не очень оказались, а обрабатывать их нет времени.... Ужас просто )))


",1980
2009,"

 Ну вот наконец то удалось собрать ""пышный"" браслетик.... где-то неровная скрутка, кое что поломалось... ну и вообще дубовенько, но все это не отнимает моей радости такому опыту   Материал: цернит, медная проволока, бисер, тросик, лак.

",1980
2010,"

        Материал: цернит, медная проволока, фурнитура, стеклянные бусины, акрил, лак.

",1980
2010,"

      Материал: цернит, медная проволока, микробисер, фурнитура, лак.

",1980
